text,label
Loose Carrots,FreshProduct
Broccoli Spears,FreshProduct
Brussel Sprouts,FreshProduct
Red Peppers,FreshProduct
Green Peppers,FreshProduct
White Onions,FreshProduct
Red Onions,FreshProduct
Spring Onions,FreshProduct
Cucumber,FreshProduct
Apples,FreshProduct
Pears,FreshProduct
Strawberries,FreshProduct
Rasberries,FreshProduct
Blueberries,FreshProduct
Bananas,FreshProduct
Apricots,FreshProduct
Lettuce,FreshProduct
Tomatoes,FreshProduct
Basil,FreshProduct
Corriander,FreshProduct
Thyme,FreshProduct
Vanilla Ice Crean,FrozenProduct
Chocolate Chip Ice Cream,FrozenProduct
Rasberry Ripple Ice Cream,FrozenProduct
Choc Ices,FrozenProduct
Frozen Carrots,FrozenProduct
Frozen Peas,FrozenProduct
Frozen Brocolli,FrozenProduct
Fish Fingers,FrozenProduct
Beef Burgers Frozen,FrozenProduct
Ice Lollies,FrozenProduct
Ice,FrozenProduct
Vege Burgers,FrozenProduct
Frozen Sausages,FrozenProduct
Frozen Mixed Vegetables,FrozenProduct
Sorbet,FrozenProduct
Deep Dish Pizza,FrozenProduct
French Fries,FrozenProduct
Oven Chips,FrozenProduct
Chicker Quarter Pounders,FrozenProduct
Garlic Baguettes,FrozenProduct
24 Chicken Dippers,FrozenProduct
Sliced White Bread,Bakery
Sliced Brown Bread,Bakery
Bread Rolls,Bakery
Finger Rolls,Bakery
Baguette,Bakery
Chocoloate Chip Cookies,Bakery
Loaf Cake,Bakery
Iced Bun x4,Bakery
Jam Doughnuts,Bakery
Chocolate Doughnuts,Bakery
Vanilla Doughnuts,Bakery
Croissants,Bakery
pan au chocolat,Bakery
Raisin Twirl,Bakery
Sponge Cake,Bakery
Lemon Drizzle Cake,Bakery
Marble Cake,Bakery
Crusty White Bloomer Loaf,Bakery
Pitta Bread,Bakery
Wraps,Bakery
Flatbread,Bakery
